frame,source_image,sent_bytes,received_bytes,status,bit_exact,nodes_orig,nodes_rec,edges_orig,edges_rec,edges_common,nodes_match,edge_precision,edge_recall,edge_f1,actor_edges_orig,actor_edges_rec,actor_edges_common,actor_edge_precision,actor_edge_recall,actor_edge_f1,risky_orig,risky_rec,risky_preserved,format,blocks_missing,relations_recovered,relations_sent,tx_time,rx_time,distance_m,chunks_sent,chunks_heard,note
0,/home/opp_env/default_workspace/gbsed/images/00097097.jpg,762,762,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,0,0,0,v1,0,6,6,11.0,13.5,124.9,2,2,
1,/home/opp_env/default_workspace/gbsed/images/00097098.jpg,862,862,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,2,2,2,v1,0,7,7,16.0,18.5,178.2,2,2,
2,/home/opp_env/default_workspace/gbsed/images/00097099.jpg,862,862,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,2,2,2,v1,0,7,7,21.0,23.5,230.5,2,2,
3,/home/opp_env/default_workspace/gbsed/images/00097100.jpg,862,862,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v1,0,7,7,26.0,28.5,281.4,2,2,
4,/home/opp_env/default_workspace/gbsed/images/00097100.png,862,862,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v1,0,7,7,31.0,33.5,333.1,2,2,
5,/home/opp_env/default_workspace/gbsed/images/00097101.jpg,862,862,DEGRADED,False,7,7,16,10,10,True,1.0,0.625,0.7692,12,6,6,1.0,0.5,0.6667,2,0,0,v1,0,7,7,36.0,36.0,359.2,2,1,payload differs from sent bytes
6,/home/opp_env/default_workspace/gbsed/images/00097102.jpg,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,41.0,,,2,0,"sent at t=41.0, nothing heard"
7,/home/opp_env/default_workspace/gbsed/images/00097103.jpg,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,46.0,,,2,0,"sent at t=46.0, nothing heard"
8,/home/opp_env/default_workspace/gbsed/images/00097104.jpg,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,51.0,,,2,0,"sent at t=51.0, nothing heard"
9,/home/opp_env/default_workspace/gbsed/images/00097105.jpg,762,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v1,,,6,56.0,,,2,0,"sent at t=56.0, nothing heard"
10,/home/opp_env/default_workspace/gbsed/images/00097106.jpg,762,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v1,,,6,61.0,,,2,0,"sent at t=61.0, nothing heard"
11,/home/opp_env/default_workspace/gbsed/images/00097107.jpg,762,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v1,,,6,66.0,,,2,0,"sent at t=66.0, nothing heard"
12,/home/opp_env/default_workspace/gbsed/images/00097108.jpg,1642,0,LOST,False,10,0,19,0,0,False,0.0,0.0,0.0,15,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,71.0,,,4,0,"sent at t=71.0, nothing heard"
13,/home/opp_env/default_workspace/gbsed/images/00097109.jpg,1354,0,LOST,False,9,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,81.0,,,3,0,"sent at t=81.0, nothing heard"
14,/home/opp_env/default_workspace/gbsed/images/00097110.jpg,436,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,88.5,,,1,0,"sent at t=88.5, nothing heard"
15,/home/opp_env/default_workspace/gbsed/images/00097111.jpg,436,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,91.0,,,1,0,"sent at t=91.0, nothing heard"
16,/home/opp_env/default_workspace/gbsed/images/00097112.jpg,436,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,93.5,,,1,0,"sent at t=93.5, nothing heard"
17,/home/opp_env/default_workspace/gbsed/images/00097113.jpg,562,0,LOST,False,7,0,10,0,0,False,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,96.0,,,2,0,"sent at t=96.0, nothing heard"
18,/home/opp_env/default_workspace/gbsed/images/00097114.jpg,704,0,LOST,False,8,0,11,0,0,False,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,101.0,,,2,0,"sent at t=101.0, nothing heard"
19,/home/opp_env/default_workspace/gbsed/images/00097114.png,704,0,LOST,False,8,0,11,0,0,False,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,106.0,,,2,0,"sent at t=106.0, nothing heard"
