fileName,chunkIndex,totalChunks,simTime,txX,txY,rxX,rxY,distance
frame_0000.bin,0,2,11.0002,26.6,961.789,101.169,1026.6,98.7976
frame_0000.bin,1,2,13.5002,26.6,939.149,115.745,1026.6,124.878
frame_0001.bin,0,2,16.0002,26.6,924.704,138.699,1026.6,151.489
frame_0001.bin,1,2,18.5002,26.6,902.429,154.41,1026.6,178.196
frame_0002.bin,0,2,21.0002,26.6,888.185,176.803,1026.6,204.254
