"frame","source_image","sent_bytes","received_bytes","status","bit_exact","nodes_orig","nodes_rec","edges_orig","edges_rec","edges_common","nodes_match","edge_precision","edge_recall","edge_f1","tx_time","rx_time","distance_m","chunks_sent","chunks_heard","note"
"0","/home/opp_env/default_workspace/gbsed/images/00097097.jpg","762","762","EXACT","TRUE","7","7","18","18","18","TRUE","1","1","1","11","11","98.8","1","1",""
"1","/home/opp_env/default_workspace/gbsed/images/00097098.jpg","862","862","EXACT","TRUE","7","7","18","18","18","TRUE","1","1","1","13.5","13.5","124.9","1","1",""
"2","/home/opp_env/default_workspace/gbsed/images/00097099.jpg","862","862","EXACT","TRUE","7","7","18","18","18","TRUE","1","1","1","16","16","151.5","1","1",""
"3","/home/opp_env/default_workspace/gbsed/images/00097100.jpg","862","862","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","18.5","18.5","178.2","1","1",""
"4","/home/opp_env/default_workspace/gbsed/images/00097100.png","862","862","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","21","21","204.3","1","1",""
"5","/home/opp_env/default_workspace/gbsed/images/00097101.jpg","862","862","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","23.5","23.5","230.5","1","1",""
"6","/home/opp_env/default_workspace/gbsed/images/00097102.jpg","862","862","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","26","26","255.7","1","1",""
"7","/home/opp_env/default_workspace/gbsed/images/00097103.jpg","862","862","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","28.5","28.5","281.4","1","1",""
"8","/home/opp_env/default_workspace/gbsed/images/00097104.jpg","862","862","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","31","31","306.3","1","1",""
"9","/home/opp_env/default_workspace/gbsed/images/00097105.jpg","762","762","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","33.5","33.5","333.1","1","1",""
"10","/home/opp_env/default_workspace/gbsed/images/00097106.jpg","762","762","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","36","36","359.2","1","1",""
"11","/home/opp_env/default_workspace/gbsed/images/00097107.jpg","762","762","EXACT","TRUE","7","7","16","16","16","TRUE","1","1","1","38.5","38.5","384","1","1",""
"12","/home/opp_env/default_workspace/gbsed/images/00097108.jpg","1642","1642","EXACT","TRUE","10","10","19","19","19","TRUE","1","1","1","41","43.5","436.8","2","2",""
"13","/home/opp_env/default_workspace/gbsed/images/00097109.jpg","1354","1354","EXACT","TRUE","9","9","18","18","18","TRUE","1","1","1","46","48.5","488.2","2","2",""
"14","/home/opp_env/default_workspace/gbsed/images/00097110.jpg","436","0","LOST","FALSE","6","0","9","0","0","FALSE","0","0","0","51","","","1","0","sent at t=51.0, nothing heard"
"15","/home/opp_env/default_workspace/gbsed/images/00097111.jpg","436","0","LOST","FALSE","6","0","9","0","0","FALSE","0","0","0","53.5","","","1","0","sent at t=53.5, nothing heard"
"16","/home/opp_env/default_workspace/gbsed/images/00097112.jpg","436","0","LOST","FALSE","6","0","9","0","0","FALSE","0","0","0","56","","","1","0","sent at t=56.0, nothing heard"
"17","/home/opp_env/default_workspace/gbsed/images/00097113.jpg","562","0","LOST","FALSE","7","0","10","0","0","FALSE","0","0","0","58.5","","","1","0","sent at t=58.5, nothing heard"
"18","/home/opp_env/default_workspace/gbsed/images/00097114.jpg","704","0","LOST","FALSE","8","0","11","0","0","FALSE","0","0","0","61","","","1","0","sent at t=61.0, nothing heard"
"19","/home/opp_env/default_workspace/gbsed/images/00097114.png","704","0","LOST","FALSE","8","0","11","0","0","FALSE","0","0","0","63.5","","","1","0","sent at t=63.5, nothing heard"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
