frame,source_image,sent_bytes,received_bytes,status,bit_exact,nodes_orig,nodes_rec,edges_orig,edges_rec,edges_common,nodes_match,edge_precision,edge_recall,edge_f1,actor_edges_orig,actor_edges_rec,actor_edges_common,actor_edge_precision,actor_edge_recall,actor_edge_f1,risky_orig,risky_rec,risky_preserved,format,blocks_missing,relations_recovered,relations_sent,tx_time,rx_time,distance_m,chunks_sent,chunks_heard,note
0,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097097.jpg,1000,1000,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,0,0,0,v2,0,6,6,11.0,11.0,98.8,1,1,
1,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097098.jpg,1000,1000,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,2,2,2,v2,0,7,7,13.5,13.5,124.9,1,1,
2,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097099.jpg,1000,1000,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,2,2,2,v2,0,7,7,16.0,16.0,151.5,1,1,
3,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097100.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,18.5,18.5,178.2,1,1,
4,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097100.png,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,21.0,21.0,204.3,1,1,
5,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097101.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,23.5,23.5,230.5,1,1,
6,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097102.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,26.0,26.0,255.7,1,1,
7,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097103.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,28.5,28.5,281.4,1,1,
8,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097104.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,31.0,31.0,306.3,1,1,
9,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097105.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,4,4,4,v2,0,6,6,33.5,33.5,333.1,1,1,
10,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097106.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,4,4,4,v2,0,6,6,36.0,36.0,359.2,1,1,
11,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097107.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v2,,,6,38.5,,,1,0,"sent at t=38.5, nothing heard"
12,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097108.jpg,2000,0,LOST,False,10,0,19,0,0,False,0.0,0.0,0.0,15,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,41.0,,,2,0,"sent at t=41.0, nothing heard"
13,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097109.jpg,2000,0,LOST,False,9,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,46.0,,,2,0,"sent at t=46.0, nothing heard"
14,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097110.jpg,1000,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,51.0,,,1,0,"sent at t=51.0, nothing heard"
15,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097111.jpg,1000,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,53.5,,,1,0,"sent at t=53.5, nothing heard"
16,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097112.jpg,1000,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,56.0,,,1,0,"sent at t=56.0, nothing heard"
17,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097113.jpg,1000,0,LOST,False,7,0,10,0,0,False,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,58.5,,,1,0,"sent at t=58.5, nothing heard"
18,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097114.jpg,1000,0,LOST,False,8,0,11,0,0,False,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,61.0,,,1,0,"sent at t=61.0, nothing heard"
19,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097114.png,1000,0,LOST,False,8,0,11,0,0,False,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,63.5,,,1,0,"sent at t=63.5, nothing heard"
